TRADE_SYMBOL,Total_BUY_Profit(%),Total_SHORT_Profit(%),Total_Profit(%),BUY_Trades,SHORT_Trades,Avg_BUY_Profit(%),Avg_SHORT_Profit(%),WinRate_BUY(%),WinRate_SHORT(%)
ABBOTINDIA,163.04252479457023,-17.176145675527188,145.86637911904305,69,19,2.362935141950293,-0.9040076671330098,85.5072463768116,47.368421052631575
ABCAPITAL,259.22186719779023,47.95895749410936,307.1808246918996,68,31,3.8120862823204456,1.54706314497127,91.17647058823529,74.19354838709677
ABFRL,217.3653186489148,20.03070584464412,237.39602449355894,64,39,3.396333103889292,0.5136078421703624,84.375,69.23076923076923
ACC,163.49291039705125,-0.9760963535348446,162.5168140435164,51,41,3.2057433411186507,-0.0238072281349963,94.11764705882352,56.09756097560976
ADANIENT,389.54653975923503,59.72966711052165,449.27620686975666,72,23,5.410368607767153,2.5969420482835504,81.94444444444444,73.91304347826086
ADANIPORTS,245.83025938674263,25.24425918088484,271.0745185676275,64,28,3.8410978029178557,0.9015806850316015,84.375,57.14285714285714
ALKEM,150.83773496841297,0.3629980487508657,151.20073301716383,61,29,2.472749753580539,0.012517174094857439,83.60655737704919,55.172413793103445
AMBUJACEM,220.83221985760233,23.809228438159007,244.64144829576134,61,36,3.6202003255344644,0.6613674566155279,81.9672131147541,58.333333333333336
APOLLOHOSP,147.60131848377523,33.152892279838376,180.7542107636136,60,34,2.460021974729588,0.9750850670540697,93.33333333333333,61.76470588235294
APOLLOTYRE,236.1969979559244,-22.94050819922858,213.2564897566958,84,35,2.8118690232848147,-0.655443091406531,88.09523809523809,60.0
ASHOKLEY,187.9038903827573,-0.3327557206494691,187.57113466210785,79,30,2.378530258009586,-0.011091857354982393,84.81012658227847,70.0
ASIANPAINT,111.3568957721952,4.52748985944195,115.88438563163714,46,40,2.4208020820042435,0.11318724648604879,86.95652173913044,52.5
ASTRAL,160.9281673205242,82.26495046988067,243.19311779040487,53,32,3.0363805154815893,2.5707797021837706,92.45283018867924,78.125
ATUL,180.87262492553896,41.40656878491854,222.2791937104575,72,32,2.5121197906324864,1.2939552745287044,83.33333333333334,59.375
AUBANK,208.8834948242514,65.43491620055903,274.3184110248104,60,45,3.4813915804041886,1.4541092489013119,91.66666666666666,73.33333333333333
AUROPHARMA,225.82275211861128,48.29773826410215,274.12049038271346,83,39,2.720756049621823,1.2384035452333886,81.92771084337349,71.7948717948718
AARTIIND,158.08942757880982,102.72964508429578,260.8190726631056,59,53,2.679481823369658,1.9382951902697318,83.05084745762711,77.35849056603774
ABB,308.5314986604353,66.48873824701552,375.02023690745085,73,26,4.2264588857593886,2.5572591633467505,87.67123287671232,73.07692307692307
